REFLEX	ETYMA	LEMMA	POS [OLD]	INFLECTION CLASS [OLD]	BASE TAGS [OLD]	REFLEX INFLECTED	ETYMA INFLECTED	INFLECTED TAGS [OLD]	FL2 [[OLD]]	IRREGULARITIES	CUT	ADDED	NOTES	SOURCE [NOTES]
aeger	['aigros']	AEGER	Adjective	2	Nm-M-S-Ps	aegri:	['aigri:']	Gn-M-S-Ps	G2					
aemulus	['aimelos']	AEMULUS	Adjective	2	Nm-M-S-Ps	aemuli:	['aimeli:']	Gn-M-S-Ps	G2					
aequus	['aikʷos']	AEQUUS	Adjective	2	Nm-M-S-Ps	aequi:	['aikʷi:']	Gn-M-S-Ps	G2					
aes_2	['ajos']	AES	Noun	3	Nm-N-S	aeris	['ajezes']	Gn-N-S	G3					
aesta:s	['aissa:ts']	AESTAS	Noun	3	Nm-F-S	aesta:tis	['aissa:tes']	Gn-F-S	G3	MORPHOLOGY			[Morphology] Inherited -st- became -ss- but was in some places restored to -st-, apparently by analogy to other forms in -tas.	
aestus	['aissus']	AESTUS	Noun	4	Nm-M-S	aestu:s	['aisswos']	Gn-M-S	G4	MORPHOLOGY			[Morphology] Inherited -st- became -ss- but was in some places restored to -st-, apparently by analogy to other forms in -tas.	
aeta:s	['aiwota:ts']	AETAS	Noun	3	Nm-F-S	aeta:tis	['aiwota:tes']	Gn-F-S	G3					
aevita:s	['aiwota:ts']		Noun	3	Nm-F-S	aevita:tis	['aiwota:tes']	Gn-F-S	G3	ARCHAISM	TRUE		(CUT?): It survived to the time of the 12 Tables but otherwise disappeared. Cut? So the RNN doesn't think aevi- and ae- are in free variation or equally valid outcomes (they aren't)? To put it another way, aevita:s is really an intermediary stage that happens to be attested, so probably doesn't belong in the target set.	
aevum	['aiwom']	AEVUM	Noun	2	Nm-N-S	aevi:	['aiwi:']	Gn-N-S	G2					
ae:nus	['aeznos' 'ajesnos']	AENUS	Adjective	2	Nm-M-S-Ps	ae:ni:	['aezni:' 'ajesni:']	Gn-M-S-Ps	G2	BORROWING			[Borrowing] *ajos, ajes may be the protoform, which is one way of accounting for the hiatus. This could be an Umbrian loan word.	
affecto:	['adfaktajo:']	AFFECTO	Verb	1	1-S-Pr-Act-Ind	affectat	['adfaktajeti']	3-S-Pr-Act-Ind	V3				Relevant to all 1st conjugation verbs, the outcome of -ajo: should be -a:. -o: was imported into the first conjugation by analogy to other conjugations.	
afficio:	['adfakjo:']	AFFICIO	Verb	3	1-S-Pr-Act-Ind	afficit	['adfakjeti']	3-S-Pr-Act-Ind	V3					
ager	['agros']	AGER	Noun	2	Nm-M-S	agri:	['agri:']	Gn-M-S	G2					
agilis	['agelis']	AGILIS	Adjective	3	Nm-M/F-S-Ps	agilis	['ageles']	Gn-M/F-S-Ps	G3					
agilita:s	['agelita:ts']	AGILITAS	Noun	3	Nm-F-S	agilita:tis	['agelita:tes']	Gn-F-S	G3					
aŋnus	['agʷnos']	AGNUS	Noun	2	Nm-M-S	aŋni:	['agʷni:']	Gn-M-S	G2					
ago:	['ago:']	AGO	Verb	3	1-S-Pr-Act-Ind	agit	['ageti']	3-S-Pr-Act-Ind	V3					
actus	['agtos']	AGO	Participle	2	Pf-Psv-Nm-M-S-Ps	acti:	['agti:']	Pf-Psv-Gn-M-S-Ps	G2			TRUE		
aio:	['agjo:']	AIO	Verb	Special	1-S-Pr-Act-Ind	ait	['agjeti']	3-S-Pr-Act-Ind	V3					
albus	['alβos']	ALBUS	Adjective	2	Nm-M-S-Ps	albi:	['alβi:']	Gn-M-S-Ps	G2					
aliorsum	['aljoworssom']	ALIORSUM	Adverb		Ps									
alius	['aljos']	ALIUS	Adjective	Special	Nm-M-S-Ps								The genitive is irregular, so it wasn't included. So for totus, ullus, unus, etc.	
alnus	['alznos']	ALNUS	Noun	2	Nm-F-S									
alo:	['alo:']	ALO	Verb	3	1-S-Pr-Act-Ind	alit	['aleti']	3-S-Pr-Act-Ind	V3					
altus	['altos']	ALTUS	Adjective	2	Nm-M-S-Ps	alti:	['alti:']	Gn-M-S-Ps	G2			TRUE		
alumnus	['alomanos']	ALUMNUS	Adjective	2	Nm-M-S-Ps	alumni:	['alomani:']	Gn-M-S-Ps	G2					
alvus	['aulos']	ALVUS	Noun	2	Nm-F-S	auli:	['auli:']	Gn-F-S	G2	PHONOLOGY			[Phonology] This form has a rare metathesis (-lv- > -ul-), as does parvus (-ur- > -rv-, the mirror image change).	
amor_1	['amo:s']	AMOR	Noun	3	Nm-M-S	amo:ris	['amo:ses']	Gn-M-S	G3					
amosio	['amosjo']										TRUE		Unknown meaning. This is an rare -osyo gen. that was replaced by -i:.	
amo:_1	['ama:jo:']	AMO	Verb	1	1-S-Pr-Act-Ind	amat	['ama:eti']	3-S-Pr-Act-Ind	V3		TRUE		Some have argued that it's a post-P. Ital. stative (ama-e:-). That means the set would contain a non-P. Ital. form. The sound laws work out the same, so it doesn't matter for teaching the machine, but it does matter if the set is supposed to be late P. Ital.	
amtruo:	['amβidrewa:jo:']	AMTRUO	Verb	1	1-S-Pr-Act-Ind	amtruat	['amβidrewa:jeti']	3-S-Pr-Act-Ind	V3					
an	['an']	AN	Conjunction											
anas	['anats']	ANAS	Noun	3	Nm-F-S	anatis	['anates']	Gn-F-S	G3					
anci:le	['amβikaidzli']	ANCILE	Noun	3	Nm-N-S	anci:lis	['amβikaidzles']	Gn-N-S	G3				This is apparently in origin an adjective that in principle could refer to anything 'cut on both sides,' but it ends up only as a neuter noun, so here only the neuter is reconstructed.	
anculus	['amβikʷolos']	ANCULUS	Noun	2	Nm-M-S	anculi:	['amβikʷoli:']	Gn-M-S	G2					
aŋgo:	['anɣo:']	ANGO	Verb	3	1-S-Pr-Act-Ind	aŋgit	['anɣeti']	3-S-Pr-Act-Ind	V3					
animus	['anamos']	ANIMUS	Noun	2	Nm-M-S	animi:	['anami:']	Gn-M-S	G2					
anno:na	['atnozna:']	ANNONA	Noun	1	Nm-F-S	anno:nae	['atnozna:i:']	Gn-F-S	G1				s > z /_vd. That should probably be reconstructed for P. Ital.	
annus	['atnos']	ANNUS	Noun	2	Nm-M-S	anni:	['atni:']	Gn-M-S	G2					
antecessor	['antikezto:r']										TRUE		Not really an old word.	
antenna	['antitempna:']	ANTENNA	Noun	1	Nm-F-S	antennae	['antitempna:i:']	Gn-F-S	G1					
anti:quus	['anti:kʷos']	ANTIQUUS	Adjective	2	Nm-M-S-Ps	anti:qui:	['anti:kʷi:']	Gn-M-S-Ps	G2					
aper	['apros']	APER	Noun	2	Nm-M-S	apri:	['apri:']	Gn-M-S	G2					
apo:	['apo:']										TRUE		Did not survive to Classical Latin (so there is no target).	
aptus	['aptos']	APTUS	Adjective	2	Nm-M-S-Ps	apti:	['apti:']	Gn-M-S-Ps	G2					
aqua	['akʷa:']	AQUA	Noun	1	Nm-F-S	aquae	['akʷa:i:']	Gn-F-S	G1					
arbor	['arðo:s']	ARBOR	Noun	3	Nm-F-S	arboris	['arðozes']	Gn-F-S	G3					
arceo:	['arkejo:']	ARCEO	Verb	2	1-S-Pr-Act-Ind	arcet	['arke:jeti']	3-S-Pr-Act-Ind	V3					
arduus	['arðwos']	ARDUUS	Adjective	2	Nm-M-S-Ps	ardui:	['arðwi:']	Gn-M-S-Ps	G2					
argentum	['argentom']	ARGENTUM	Noun	2	Nm-N-S	argenti:	['argenti:']	Gn-N-S	G2					
aro:	['ara:jo:']	ARO	Verb	1	1-S-Pr-Act-Ind	arat	['ara:jeti']	3-S-Pr-Act-Ind	V3					
ars	['artis']	ARS	Noun	3	Nm-F-S	artis	['artes']	Gn-F-S	G3					
assus	['adtos']	ASSUS	Participle	2	Pf-Psv-Nm-M-S-Ps	assi:	['adti:']	Pf-Psv-Gn-M-S-Ps	PP			TRUE		
auceps	['awikaps']	AUCEPS	Noun	3	Nm-M-S	aucupis	['awikapes']	Gn-M-S	G3					
auctus	['augtos']	AUGEO	Participle	2	Pf-Psv-Nm-M-S-Ps	aucti:	['augti:']	Pf-Psv-Gn-M-S-Ps	G2			TRUE		
audeo:	['awide:o:']	AUDEO	Verb	2	1-S-Pr-Act-Ind	audet	['awide:eti']	3-S-Pr-Act-Ind	V3					
audio:	['awizdjo:']	AUDIO	Verb	4	1-S-Pr-Act-Ind	audit	['awizdjeti']	3-S-Pr-Act-Ind	V3					
augeo:	['augejo:']	AUGEO	Verb	2	1-S-Pr-Act-Ind	auget	['augejeti']	3-S-Pr-Act-Ind	V3					
auro:ra	['auzo:s']	AURORA	Noun	1	Nm-F-S	auro:rae	['auzo:sa:i:']	Gn-F-S	G1	MORPHOLOGY			[Morphology] Latin made the inherited s-stem into an a-stem, probably because of the fem. gender of the IE word. That is, auro:ra is not the result of phonological change.	
aurum	['auzom']	AURUM	Noun	2	Nm-N-S	auri:	['auzi:']	Gn-N-S	G2					
aut	['auti']	AUT	Conjunction											
auxi:	['augsai']	AUGEO	Verb	2	1-S-Pf-Act-Ind							TRUE		
aveo:	['awe:jo:']	AVEO	Verb	2	1-S-Pr-Act-Ind	avet	['awe:jeti']	3-S-Pr-Act-Ind	V3					
ave:ns	['awents']										TRUE		Generally we are not reconstructing -ns participles.	
avidus	['awiðos']	AVIDUS	Adjective	2	Nm-M-S-Ps	avidi:	['awiði:']	Gn-M-S-Ps	G2					
avis	['awis']	AVIS	Noun	3	Nm-F-S	avis	['awojs']	Gn-F-S	G3	MORPHOLOGY			[Morphology] The -is gen. sg. of the i- stems is usually explained as a borrowing from the consonant stems. Sihler argues that *oys was replaced in L. by *yes which (on his view) became *is by normal phonetic processes.	
avus	['awos']	AVUS	Noun	2	Nm-M-S	avi:	['awi:']	Gn-M-S	G2					
axis	['aksis']	AXIS	Noun	3	Nm-M-S	axis	['akses']	Gn-M-S	G3					
axo:	['aksa:jo:']		Verb	1	1-S-Pr-Act-Ind	axat	['aksa:jeti']	3-S-Pr-Act-Ind	V3	DEAD	TRUE		[Dead] This is a very archaic verb attested only in Paulus Festus and not in use in the classical period. So it doesn't really have a outcome or target in the normal sense.	
a:cer	['akris']	ACER	Adjective	3	Nm-M-S-Ps	a:cris	['akres']	Gn-M-S-Ps	G3					
a:lium	['a:ljom']	ALIUM	Noun	2	Nm-N-S	a:li:	['a:li:']	Gn-N-S	G2					
a:nser	['ha:ns']	ANSER	Noun	3	Nm-M-S	a:nseris	['ha:nseres']	Gn-M-S	G3	PARADIGM LEVELING			[Paradigm Leveling] *ha:ns is the IE nom, and the paradigm would have been n *ha:ns, g *ha:nsos, a *ha:nesm, but by the time of Latin the gen. & acc. have been conflated to produce a stem ha:nses- which becomes ha:nser- and takes over. In short, the Latin nom. is an analogical, not a phonological, product.	
a:ra	['a:za:']	ARA	Noun	1	Nm-F-S	a:rae	['a:za:i:']	Gn-F-S	G1					
a:rdeo:_1	['a:zide:jo:']	ARDEO	Verb	2	1-S-Pr-Act-Ind	a:rdet	['a:zide:jeti']	3-S-Pr-Act-Ind	V3					
a:rsus	['a:rdtos']	ARDEO	Adjective	2	Nm-M-S-Ps	a:rsi:	['a:rdti:']	Gn-M-S-Ps	G1			TRUE		
a:rea	['a:zea:' 'a:rea:']	AREA	Noun	1	Nm-F-S	a:rea	['a:zea:i:' 'a:rea:i:']	Gn-F-S	G1					
a:reo:	['a:ze:jo:']	AREO	Verb	2	1-S-Pr-Act-Ind	aret	['a:ze:jeti']	3-S-Pr-Act-Ind	V3					
a:ridita:s	['a:zideta:ts']	ARIDITAS	Noun	3	Nm-F-S	a:ridita:tis	['a:zideta:tess']	Gn-F-S	G3					
a:ridus	['a:zidos']	ARIDUS	Adjective	2	Nm-M-S-Ps	a:ridi:	['a:zidi:']	Gn-M-S-Ps	G2					
a:ter	['a:tros']	ATER	Adjective	2	Nm-M-S-Ps	a:tri:	['a:tri:']	Gn-M-S-Ps	G2					
barba	['farβa:']	BARBA	Noun	1	Nm-F-S	barbae	['farβa:i:']	Gn-F-S	G1					
barba:tus	['farβa:tos']	BARBATUS	Adjective	2	Nm-M-S-Ps	barba:ti:	['farβa:ti:']	Gn-M-S-Ps	G2					
beniŋnus	['dwenignos']	BENIGNUS	Adjective	2	Nm-M-S-Ps	beniŋni:	['dwenigni:']	Gn-M-S-Ps	G2				There's no reason to think the combining form had adverbial inflection as on Wiktionary, hence 'dwenedgenos' was cut; we reconstruct dweni-.	
beo:	['dwea:jo:']	BEO	Verb	1	1-S-Pr-Act-Ind	beat	['dwea:jeti']	3-S-Pr-Act-Ind	V3					
bibo:	['pibo:']	BIBO	Verb	3	1-S-Pr-Act-Ind	bibit	['pibeti']	3-S-Pr-Act-Ind	V3	PHONOLOGY			[Phonology] A one-off regressive assimilation seems to have made p-b- into b-b-. But that didn't happen everywhere: pubes didn't become bubes; cf. also pabulum, publicus.	
bonus	['dwenos']	BONUS	Adjective	2	Nm-M-S-Ps	boni:	['dweni:']	Gn-M-S-Ps	G2					
bo:s	['gʷo:s']	BOS	Noun	3	Nm-M/F-S	bovis	['gʷowes']	Gn-M/F-S	G3	BORROWING			[Borrowing] The initial consonant shows a non-Latin outcome and is thus probably a borrowing.	
brevis	['breɣʷis']	BREVIS	Adjective	3	Nm-M/F-S-Ps	brevis	['breɣʷes']	Gn-M/F-S-Ps	G3					
bru:tus	['gʷru:tos']	BRUTUS	Adjective	2	Nm-M-S-Ps	bru:ti:	['gʷru:ti:']	Gn-M-S-Ps	G2	BORROWING			[Borrowing] The initial consonant shows a non-Latin outcome and is thus probably a borrowing.	
cado:	['kado:']	CADO	Verb	3	1-S-Pr-Act-Ind	cadit	['kadeti']	3-S-Pr-Act-Ind	V3					
caecus	['kaikos']	CAECUS	Adjective	2	Nm-M-S-Ps	caeci:	['kaiki:']	Gn-M-S-Ps	G2					
caedo:	['kaido:']	CAEDO	Verb	3	1-S-Pr-Act-Ind	caedit	['kaideti']	3-S-Pr-Act-Ind	V3					
caelum_1	['kailom']	CAELUM1	Noun	2	Nm-N-S	caeli:	['kaili:']	Gn-N-S	G2					
caelum_2	['kaidslom' 'kaidlom']	CAELUM2	Noun	2	Nm-N-S	caeli:	['kaidsli:' 'kaidli:']	Gn-N-S	G2					
caementum	['kaidmentom']	CAEMENTUM	Noun	2	Nm-N-S	caementi:	['kaidmenti:']	Gn-N-S	G2					
caleo:	['kale:o:']	CALEO	Verb	2	1-S-Pr-Act-Ind	calet	['kale:eti']	3-S-Pr-Act-Ind	V3					
calo:	['kalo:']	CALO	Verb	1	1-S-Pr-Act-Ind	calat	['kalati']	3-S-Pr-Act-Ind	V3				Unlike most 1st conj. verbs, the -a- in this paradigm seems to come from a laryngeal (like do: dare), hence a short -a- is reconstructed for the 3rd sg.	
calumnia	['kalwomnia:']	CALUMNIA	Noun	1	Nm-F-S	calumniae	['kalwomnia:i:']	Gn-F-S	G1					
calva	['kalowa:']	CALVA	Noun	1	Nm-F-S	calvae	['kalowa:i:']	Gn-F-S	G1					
calvor	['kalwo:r']	CALVOR	Verb	3	1-S-Pr-Dep-Ind	calvitur	['kalwetor']	3-S-Pr-Dep-Ind	V3			TRUE		
calvus	['kalowos']	CALVUS	Adjective	2	Nm-M-S-Ps	calvi:	['kalowi:']	Gn-M-S-Ps	G2					
camur	['kameros']	CAMUR	Adjective	2	Nm-M-S-Ps	cameri:	['kameri:']	Gn-M-S-Ps	G2					
cancer	['kankros' 'karkros']	CANCER	Noun	3	Nm-M-S					PHONOLOGY			[Phonology] *karkros is a postulated pre-form of securely reconstructable *kankros. Feeding both forms in implies they are both late P. Ital., but one is older. That is, the forms are layered. (Probably some r-r dissimilation).	
candeo:	['kande:o:']	CANDEO	Verb	2	1-S-Pr-Act-Ind	candet	['kande:eti']	3-S-Pr-Act-Ind	V3					
cano:	['kano:']	CANO	Verb	3	1-S-Pr-Act-Ind	canit	['kaneti']	3-S-Pr-Act-Ind	V3					
caper	['kapros']	CAPER	Noun	2	Nm-M-S	capri:	['kapri:']	Gn-M-S	G2					
capio:	['kapjo:']	CAPIO	Verb	3	1-S-Pr-Act-Ind	capit	['kapjeti']	3-S-Pr-Act-Ind	V3					
caput	['kaput']	CAPUT	Noun	3	Nm-N-S	capitis	['kaputes']	Gn-N-S	G3					
carcer	['karkros']	CARCER	Noun	2	Nm-M-S	carcri:	['karkri:']	Gn-M-S	G2					
careo:	['kaze:o:']	CAREO	Verb	2	1-S-Pr-Act-Ind	caret	['kaze:eti']	3-S-Pr-Act-Ind	V3					
carmen	['kanmen']	CARMEN	Noun	3	Nm-N-S	carminis	['kanmenes']	Gn-N-S	G3					
caro:	['kero:']	CARO	Noun	3	Nm-F-S	carnis	['karenes']	Gn-F-S	G3	PARADIGM LEVELING			[Paradigm Leveling] The inherited full grade nominative was levelled out.	
carpo:	['karpo:']	CARPO	Verb	3	1-S-Pr-Act-Ind	carpit	['karpeti']	3-S-Pr-Act-Ind	V3					
cascus	['kaskos']	CASCUS	Adjective	2	Nm-M-S-Ps	casci:	['kaski:']	Gn-M-S-Ps	G2					
castro:	['kastra:jo:']	CASTRO	Verb	1	1-S-Pr-Act-Ind	castrat	['kastra:jeti']	3-S-Pr-Act-Ind	V3					
castrum	['kastrom']	CASTRUM	Noun	2	Nm-N-S	castri:	['kastri:']	Gn-N-S	G2					
caterva:	['kateswa:']	CATERVA	Noun	1	Nm-F-S	catervae	['kateswa:i:']	Gn-F-S	G1	PHONOLOGY			[Phonology] Rix 1981: 119 claims -sw- > -rw-; the form is sometimes reconstructed as katesowa, in which case the -r- would be normal.	rixRapportiOnomastici1981
cate:na	['katezna:']	CATENA	Noun	1	Nm-F-S	cate:nae	['katezna:i:']	Gn-F-S	G1					
cati:nus	['kati:nos']	CATINUS	Noun	2	Nm-M-S	cati:ni:	['kati:ni:']	Gn-M-S	G2					
catulus	['katelos']	CATULUS	Noun	2	Nm-M-S	catuli:	['kateli:']	Gn-M-S	G2					
catus	['katos']	CATUS	Adjective	2	Nm-M-S-Ps	cati:	['kati:']	Gn-M-S-Ps	G2					
cauda	['kauda:']	CAUDA	Noun	1	Nm-F-S	caudae	['kauda:i:']	Gn-F-S	G1					
caula	['kaɣela']	CAULA	Noun	1	Nm-F-S	caulae	['kaɣela:i:']	Gn-F-S	G1				(1) de Vaan usually uses χ and not ɣ. This is an allomorphy problem. It is usually assumed that the fricatives were voiced intervocalically but not initially. Thus the sounds are identical phonemically but not phonetically. The data we have is mostly phonetic, not phonemic (thus we are reconstructing with -zn- and not -sn-). (2) We reconstruct the singular; the word happens to be attested only in the plural, but that is a lexicalization not relevant to phonetic processes.	deVaan2008
caurus	['kaweros']	CAURUS	Noun	2	Nm-M-S	cauri:	['kauweri:']	Gn-M-S	G2					
causa	['kaussa:']	CAUSA	Noun	1	Nm-F-S	causae	['kaussa:i:']	Gn-F-S	G1				This one is often reconstructed *kaud-ta:.	
causa:	['kaussa:']										TRUE		This is the ablative of the preceding used as a preposition and not relevant to phonetic processes. Furthermore the Ital. abl. was -a:d.	
caveo:	['kawe:jo:']	CAVEO	Verb	2	1-S-Pr-Act-Ind	cavet	['kawe:jeti']	3-S-Pr-Act-Ind	V3	PHONOLOGY			[Phonology] The real origin here is *-ow-. -ow- is unrounded pretonically to -aw-, probably pre-Proto-Italic (Vine's law). The broader issue is accent. IE had mobile accent; P. Ital. developed head accent; classical Latin has the well-known penultimate rule.	
cavo:	['kawa:jo:']	CAVO	Verb	1	1-S-Pr-Act-Ind	cavat	['kawa:jeti:']	3-S-Pr-Act-Ind	G2					
cavus	['kawos']	CAVUS	Adjective	2	Nm-M-S-Ps	cavi:	['kawi:']	Gn-M-S-Ps	G2					
ca:nus	['kaznos']	CANUS	Adjective	2	Nm-M-S-Ps	ca:ni:	['kazni:']	Gn-M-S-Ps	G2					
ca:rus	['ka:ros']	CARUS	Adjective	2	Nm-M-S-Ps	ca:ri:	['ka:ri:']	Gn-M-S-Ps	G2					
cedo	['kedo:']	CEDO1	Verb	3	2-S-Pr-Act-Imp								We cut Wiktionary's "ke-date". That's the pre-form of the plural cette (added below). Cedo is the singular.	
celeber	['kelizris']	CELEBER	Adjective	3	Nm-M-S-Ps	celebris	['kelizres']	Gn-M-S-Ps	G3					
centum	['kentom']	CENTUM	Numeral											
cerebrum	['kerazrom']	CEREBRUM	Noun	2	Nm-N-S	cerebri:	['kerazri:']	Gn-N-S	G2					
cerno:	['krino:']	CERNO	Verb	3	1-S-Pr-Act-Ind	cernit	['krineti']	3-S-Pr-Act-Ind	V3					
cette	['kedate']	CEDO1	Verb	3	2-P-Pr-Act-Imp							TRUE		
ceu	['keiwe']	CEU	Adverb		Ps									
ce:do:	['kezdo:']	CEDO2	Verb	3	1-S-Pr-Act-Ind	ce:dit	['kezdeti']	3-S-Pr-Act-Ind	V3					
ce:na	['kertsna:']										TRUE		CHANGE—cut. The later short quantity shouldn't be in P. Ital.	
ce:na:	['kertzna:']	CENA	Noun	1	Nm-F-S	ce:nae	['kertzna:i:']	Gn-F-S	G1					
ce:nseo:	['kense:jo:']	CENSEO	Verb	2	1-S-Pr-Act-Ind	ce:nset	['kense:jeti']	3-S-Pr-Act-Ind	V3					
ce:veo:	['ke:wejo:']	CEVEO	Verb	2	1-S-Pr-Act-Ind	ce:vet	['ke:wejeti']	3-S-Pr-Act-Ind	V3					
ci:vis	['keiwis']	CIVIS	Noun	3	Nm-M/F-S	ci:vis	['keiwes']	Gn-M/F-S	G3					
ci:vita:s	['keiwita:ts']	CIVITAS	Noun	3	Nm-F-S	ci:vita:tis	['keiwita:tes']	Gn-F-S	G3					
classis	['kla:ssis']	CLASSIS	Noun	3	Nm-F-S	classis	['kla:sses']	Gn-F-S	G3					
claudo:	['klaudo:']	CLAUDO	Verb	3	1-S-Pr-Act-Ind	claudit	['klaudeti']	3-S-Pr-Act-Ind	V3					
cla:mo:	['kla:ma:jo:']	CLAMO	Verb	1	1-S-Pr-Act-Ind	cla:mat	['kla:ma:jeti']	3-S-Pr-Act-Ind	V3					
cla:rus	['kla:zos']	CLARUS	Adjective	2	Nm-M-S-Ps	cla:ri:	['kla:zi:']	Gn-M-S-Ps	G2					
cla:vis	['kla:wis']	CLAVIS	Noun	3	Nm-F-S	cla:vis	['kla:wes']	Gn-F-S	G3					
cla:vus	['kla:wos']	CLAVUS	Noun	2	Nm-M-S	cla:vi:	['kla:wi:']	Gn-M-S	G2					
clepo:	['klepo:']	CLEPO	Verb	3	1-S-Pr-Act-Ind	clepit	['klepeti']	3-S-Pr-Act-Ind	V3					
cle:me:ns	['kleiments']	CLEMENS	Adjective	3	Nm-M/F/N-S-Ps	cle:mentis	['kleimentes']	Gn-M/F/N-S-Ps	G3	ASSOCIATION			[Association] The normal outcome of *-ei- is -i:-. It may be that the expected cli:mens was remodelled to cle:mens by antithetical analogy to vehemens (= ve:mens).	
clipeus	['klupeos']	CLIPEUS	Noun	2	Nm-M-S	clipei:	['klupei:']	Gn-M-S	G2					
cli:no:	['kleina:jo:']	CLINO	Verb	1	1-S-Pr-Act-Ind	cli:nat	['kleina:jeti']	3-S-Pr-Act-Ind	V3					
clueo:	['klue:o:']	CLUEO	Verb	2	1-S-Pr-Act-Ind	cluet	['klue:eti']	3-S-Pr-Act-Ind	V3					
clu:nis	['klounis']	CLUNIS	Noun	3	Nm-M/F-S	clu:nis	['klounes']	Gn-M/F-S	G3					
cohors	['komɣortis']	COHORS	Noun	3	Nm-F-S	cohortis	['komɣortes']	Gn-F-S	G3			TRUE		
cohum	['koɣom']	COHUM	Noun	2	Nm-N-S	cohi:	['koɣi:']	Gn-N-S	G2				We cut ['kaɣjom'] for ['koɣom']. kaɣ-je- is the verbal pre-form postulated for some Sabellic forms. The noun did not have a -j-.	
collis	['kolnis']	COLLIS	Noun	3	Nm-M-S	collis	['kolnes']	Gn-M-S	G3			TRUE		
collus	['kwolsos']	COLLUS	Noun	2	Nm-M-S	colli:	['kwolsi:']	Gn-M-S	G2			TRUE		
colo:	['kʷelo:']	COLO	Verb	3	1-S-Pr-Act-Ind	colit	['kʷeleti']	3-S-Pr-Act-Ind	V3					
colo:s	['kelo:s']	COLOR	Noun	3	Nm-M-S	colo:ris	['kolozes']	Gn-M-S	G3					
coluber	['kolozros']	COLUBER	Noun	2	Nm-M-S	colubri:	['kolozri:']	Gn-M-S	G2					
colubra	['kolozra:']	COLUBRA	Noun	1	Nm-F-S	colubrae	['kolozra:i:']	Gn-F-S	G1					
columen	['kolamen']	COLUMEN	Noun	3	Nm-N-S	columinis	['kolamenes']	Gn-N-S	G3					
colus	['kʷelus']	COLUS	Noun	4	Nm-F-S	colu:s	['kʷeluos']	Gn-F-S	G4					
comes	['komits']	COMES	Noun	3	Nm-M/F-S	comitis	['komites']	Gn-M/F-S	G3					
comis	['komsmis']										TRUE		Co:mis is only long.	
commu:nis	['kommoinis']	COMMUNIS	Adjective	3	Nm-M/F-S-Ps	commu:nis	['kommoines']	Gn-M/F-S-Ps	G3					
compos	['kompotis']	COMPOS	Adjective	3	Nm-M/F/N-S-Ps	compotis	['kompotes']	Gn-M/F/N-S-Ps	G3					
condu:co:	['komdouko:']	CONDUCO	Verb	3	1-S-Pr-Act-Ind	condu:cit	['komdouketi']	3-S-Pr-Act-Ind	V3					
co:nor	['ko:na:jo:r']	CONOR	Verb	1	1-S-Pr-Dep-Ind	cona:tur	['kona:jetor']	3-S-Pr-Dep-Ind	V1			TRUE		
co:nsulo:	['komselo:']	CONSULO	Verb	3	1-S-Pr-Act-Ind	co:nsulit	['komseleti']	3-S-Pr-Act-Ind	V3			TRUE	Within Latin, -Vns > -V:ns.	
